Time,Object1Height,Object2Height,Object3Height
0,1.6,0.001,0.001
0.02,1.6,0.001,0.001
0.120097,1.6,0.001,0.001
0.1476507,1.6,0.001,0.001
0.1545224,1.6,0.001,0.001
0.1622495,1.6,0.001,0.001
0.1774393,1.6,0.001,0.001
0.1816444,1.6,0.001,0.001
0.187367,1.6,0.001,0.001
0.1912964,1.6,0.001,0.001
0.1974063,1.6,0.001,0.001
0.2030728,1.6,0.001,0.001
0.206876,1.6,0.001,0.001
0.2122363,1.6,0.001,0.001
0.216813,1.6,0.001,0.001
0.2204115,1.6,0.001,0.001
0.2243122,1.6,0.001,0.001
0.22842,1.6,0.001,0.001
0.2323523,1.6,0.001,0.001
0.2364006,1.6,0.001,0.001
0.2399658,1.6,0.001,0.001
0.2436965,1.6,0.001,0.001
0.2476676,1.6,0.001,0.001
0.2515227,1.6,0.001,0.001
0.256159,1.6,0.001,0.001
0.2599498,1.6,0.001,0.001
0.263484,1.6,0.001,0.001
0.2671095,1.6,0.001,0.001
0.2719696,1.6,0.001,0.001
0.2757182,1.6,0.001,0.001
0.2795602,1.6,0.001,0.001
0.2831389,1.6,0.001,0.001
0.287522,1.6,0.001,0.001
0.2912897,1.6,0.001,0.001
0.2954135,1.6,0.001,0.001
0.2994011,1.6,0.001,0.001
0.3031744,1.6,0.001,0.001
0.3069935,1.6,0.001,0.001
0.3114023,1.6,0.001,0.001
0.3154072,1.6,0.001,0.001
0.3196934,1.6,0.001,0.001
0.3237861,1.6,0.001,0.001
0.3279315,1.6,0.001,0.001
0.3329833,1.6,0.001,0.001
0.3454047,1.6,0.001,0.001
0.3498179,1.6,0.001,0.001
0.3542001,1.6,0.001,0.001
0.3577662,1.6,0.001,0.001
0.3618623,1.6,0.001,0.001
0.3668726,1.6,0.001,0.001
0.3704875,1.6,0.001,0.001
0.3741038,1.6,0.001,0.001
0.3783195,1.6,0.001,0.001
0.3828216,1.6,0.001,0.001
0.3866578,1.6,0.001,0.001
0.3901774,1.6,0.001,0.001
0.3943225,1.6,0.001,0.001
0.398064,1.6,0.001,0.001
0.4022301,1.6,0.001,0.001
0.4062075,1.6,0.001,0.001
0.4101571,1.6,0.001,0.001
0.4142548,1.6,0.001,0.001
0.4180826,1.6,0.001,0.001
0.4217874,1.6,0.001,0.001
0.4257205,1.6,0.001,0.001
0.4296699,1.6,0.001,0.001
0.4336722,1.6,0.001,0.001
0.437687,1.6,0.001,0.001
0.4408996,1.6,0.001,0.001
0.4441823,1.6,0.001,0.001
0.4472789,1.6,0.001,0.001
0.4504862,1.6,0.001,0.001
0.4538358,1.6,0.001,0.001
0.4568759,1.6,0.001,0.001
0.4600066,1.6,0.001,0.001
0.4632623,1.6,0.001,0.001
0.4663968,1.6,0.001,0.001
0.4695781,1.6,0.001,0.001
0.4727861,1.6,0.001,0.001
0.476009,1.6,0.001,0.001
0.4790673,1.6,0.001,0.001
0.4848908,1.6,0.001,0.001
0.4883972,1.6,0.001,0.001
0.4913707,1.6,0.001,0.001
0.494518,1.6,0.001,0.001
0.4976915,1.6,0.001,0.001
0.5008424,1.6,0.001,0.001
0.5039553,1.6,0.001,0.001
0.5069588,1.6,0.001,0.001
0.5099901,1.6,0.001,0.001
0.5129549,1.6,0.001,0.001
0.5159259,1.6,0.001,0.001
0.519087,1.6,0.001,0.001
0.5221559,1.6,0.001,0.001
0.525261,1.6,0.001,0.001
0.5284047,1.6,0.001,0.001
0.5315435,1.6,0.001,0.001
0.5347973,1.6,0.001,0.001
0.5378473,1.6,0.001,0.001
0.5435939,1.6,0.001,0.001
0.5470287,1.6,0.001,0.001
0.5525467,1.6,0.001,0.001
0.5557784,1.6,0.001,0.001
0.5608501,1.6,0.001,0.001
0.5641817,1.6,0.001,0.001
0.5702049,1.6,0.001,0.001
0.5742512,1.6,0.001,0.001
0.5798093,1.6,0.001,0.001
0.5847242,1.6,0.001,0.001
0.5909187,1.6,0.001,0.001
0.5962229,1.6,0.001,0.001
0.6014658,1.6,0.001,0.001
0.6100287,1.6,0.001,0.001
0.6178977,1.6,0.001,0.001
0.6223794,1.6,0.001,0.001
0.6299662,1.6,0.001,0.001
0.6334903,1.6,0.001,0.001
0.6394793,1.6,0.001,0.001
0.645474,1.6,0.001,0.001
0.6493947,1.6,0.001,0.001
0.6539004,1.6,0.001,0.001
0.6575009,1.6,0.001,0.001
0.6617364,1.6,0.001,0.001
0.6653922,1.6,0.001,0.001
0.6701136,1.6,0.001,0.001
0.6735638,1.6,0.001,0.001
0.6840141,1.6,0.001,0.001
0.6890821,1.6,0.001,0.001
0.6938354,1.6,0.001,0.001
0.6976028,1.6,0.001,0.001
0.7022701,1.6,0.001,0.001
0.7058976,1.6,0.001,0.001
0.709673,1.6,0.001,0.001
0.7129809,1.6,0.001,0.001
0.7163312,1.6,0.001,0.001
0.7212437,1.6,0.001,0.001
0.728397,1.6,0.001,0.001
0.7324664,1.6,0.001,0.001
0.7362022,1.6,0.001,0.001
0.7441165,1.6,0.001,0.001
0.7484184,1.6,0.001,0.001
0.7526263,1.6,0.001,0.001
0.757211,1.6,0.001,0.001
0.7609635,1.6,0.001,0.001
0.7662056,1.6,0.001,0.001
0.7704744,1.6,0.001,0.001
0.776851,1.6,0.001,0.001
0.7817579,1.6,0.001,0.001
0.7857774,1.6,0.001,0.001
0.7901407,1.6,0.001,0.001
0.794076,1.6,0.001,0.001
0.7996162,1.6,0.001,0.001
0.8048089,1.6,0.001,0.001
0.8082781,1.6,0.001,0.001
0.8131523,1.6,0.001,0.001
0.8167797,1.6,0.001,0.001
0.821529,1.6,0.001,0.001
0.8250718,1.6,0.001,0.001
